"Asset ID","Asset No.",Date,Time(EDT),Speed(MPH),Heading,"Log Reason","Distance Traveled(Miles)",Lat,Lon,Zone,"Fuel Counter(Gallon)",Acceleration(Miles/Hour/Sec),"Status Mask",Address
48,022062,2015-07-24,08:15:13,0,"North North West","Door Open/Close",0.3,42.0679702,-71.0451243,"Brockton High","17,307.50",,41022,"Angus Beaton Dr, Brockton, MA 02301"
101,022051,2015-07-24,08:15:18,20.5,"South East East",Standard,0.3,42.0658649,-71.0448443,"Brockton High","17,025.36",-6.71,40991,"Magnolia Ave, Brockton, MA 02301"
87,022027,2015-07-24,08:15:24,18.7,"South East East",Standard,0.3,42.0657954,-71.0447096,"Brockton High","17,217.94",-6.71,40991,"Magnolia Ave, Brockton, MA 02301"
321,"MB033 - 051073",2015-07-24,08:15:34,18.7,"South South West",Standard,1,42.4206575,-71.0435162,Massachusetts,0.00,-13.42,8223,"6 Lynn St, Everett, MA 02149"
101,022051,2015-07-24,08:15:36,15.2,"North East East",Standard,0.4,42.0658041,-71.0430715,"Brockton High","17,025.36",-24.61,40991,"97 Breer Circle, Brockton, MA 02301"
321,"MB033 - 051073",2015-07-24,08:15:40,0,"South West","Motion Stop",1,42.4204935,-71.0436655,Massachusetts,0.00,-38.03,9247,"Lynn St, Everett, MA 02149"
87,022027,2015-07-24,08:15:45,5.7,"North East East",Standard,0.4,42.0658282,-71.0429181,"Brockton High","17,217.94",-33.55,40991,"97 Breer Circle, Brockton, MA 02301"
101,022051,2015-07-24,08:15:56,23,North,Standard,0.5,42.0670278,-71.0423962,"Brockton High","17,025.36",2.24,40991,"75 Breer Circle, Brockton, MA 02301"
87,022027,2015-07-24,08:16:06,21.7,"North North West",Standard,0.5,42.0671805,-71.0424463,"Brockton High","17,217.94",,40991,"Memorial Dr, Brockton, MA 02301"
321,"MB033 - 051073",2015-07-24,08:16:15,9.4,"South West","Motion Start",1,42.4204599,-71.0437013,Massachusetts,0.00,53.69,9247,"Lynn St, Everett, MA 02149"
101,022051,2015-07-24,08:16:16,19.7,"North East East",Standard,0.6,42.0683577,-71.0426353,"BROCKTON HIGH SCHOOL","17,025.36",24.61,40991,"Memorial Dr, Brockton, MA 02301"
87,022027,2015-07-24,08:16:29,21.2,"North East East",Standard,0.6,42.0683957,-71.0425166,"BROCKTON HIGH SCHOOL","17,218.21",22.37,40991,"Memorial Dr, Brockton, MA 02301"
321,"MB033 - 051073",2015-07-24,08:16:33,24.9,"South South West",Standard,1.1,42.4193936,-71.0446482,Massachusetts,0.00,8.95,8223,"Broadway & Manning Terrace, Everett, MA 02149"
101,022051,2015-07-24,08:16:34,31.5,"North North East",Standard,0.7,42.0693084,-71.0402633,"BROCKTON HIGH SCHOOL","17,025.62",-6.71,40991,"Memorial Dr, Brockton, MA 02301"
